1,296,O,159877.96,1996-01-02,5-LOW,Clerk#000000951,0,nstructions sleep furiously among 
2,625,O,69858.91,1996-12-01,1-URGENT,Clerk#000000880,0," foxes. pending accounts at the pending, silent asymptot"
3,988,F,183718.98,1993-10-14,5-LOW,Clerk#000000955,0,sly final accounts boost. carefully regular ideas cajole carefully. depos
4,1096,O,50463.93,1995-10-11,5-LOW,Clerk#000000124,0,"sits. slyly regular warthogs cajole. regular, regular theodolites acro"
5,356,F,133409.48,1994-07-30,5-LOW,Clerk#000000925,0,quickly. bold deposits sleep slyly. packages use slyly
6,445,F,35731.21,1992-02-21,4-NOT SPECIFIED,Clerk#000000058,0,"ggle. special, final requests are against the furiously specia"
7,314,O,229881.30,1996-01-10,2-HIGH,Clerk#000000470,0,ly special requests 
32,1042,O,173503.97,1995-07-16,2-HIGH,Clerk#000000616,0,"ise blithely bold, regular requests. quickly unusual dep"
33,536,F,135080.42,1993-10-27,3-MEDIUM,Clerk#000000409,0,uriously. furiously final request
34,490,O,64891.67,1998-07-21,3-MEDIUM,Clerk#000000223,0,ly final packages. fluffily final deposits wake blithely ideas. spe
35,1021,O,207916.64,1995-10-23,4-NOT SPECIFIED,Clerk#000000259,0,zzle. carefully enticing deposits nag furio
36,923,O,71087.28,1995-11-03,1-URGENT,Clerk#000000358,0, quick packages are blithely. slyly silent accounts wake qu
37,689,F,119488.89,1992-06-03,3-MEDIUM,Clerk#000000456,0,kly regular pinto beans. carefully unusual waters cajole never
38,1000,O,56372.14,1996-08-21,4-NOT SPECIFIED,Clerk#000000604,0,haggle blithely. furiously express ideas haggle blithely furiously regular re
39,655,O,297264.42,1996-09-20,3-MEDIUM,Clerk#000000659,0,"ole express, ironic requests: ir"
64,257,F,32328.04,1994-07-16,3-MEDIUM,Clerk#000000661,0,wake fluffily. sometimes ironic pinto beans about the dolphin
65,131,P,88912.18,1995-03-18,1-URGENT,Clerk#000000632,0,ular requests are blithely pending orbits-- even requests against the deposit
66,1034,F,115300.36,1994-01-20,5-LOW,Clerk#000000743,0,y pending requests integrate
67,454,O,159957.23,1996-12-19,4-NOT SPECIFIED,Clerk#000000547,0,symptotes haggle slyly around the furiously iron
68,229,O,286694.96,1998-04-18,3-MEDIUM,Clerk#000000440,0, pinto beans sleep carefully. blithely ironic deposits haggle furiously acro
69,676,F,255161.02,1994-06-04,4-NOT SPECIFIED,Clerk#000000330,0, depths atop the slyly thin deposits detect among the furiously silent accou
70,515,F,113490.75,1993-12-18,5-LOW,Clerk#000000322,0, carefully ironic request
71,28,O,264718.34,1998-01-24,4-NOT SPECIFIED,Clerk#000000271,0, express deposits along the blithely regul
96,863,F,72394.44,1994-04-17,2-HIGH,Clerk#000000395,0,oost furiously. pinto
97,169,F,103858.61,1993-01-29,3-MEDIUM,Clerk#000000547,0,hang blithely along the regular accounts. furiously even ideas after the
98,836,F,65655.24,1994-09-25,1-URGENT,Clerk#000000448,0,c asymptotes. quickly regular packages should have to nag re
99,712,F,125701.59,1994-03-13,4-NOT SPECIFIED,Clerk#000000973,0,e carefully ironic packages. pending
100,1177,O,204478.32,1998-02-28,4-NOT SPECIFIED,Clerk#000000577,0,heodolites detect slyly alongside of the ent
101,224,O,137038.22,1996-03-17,3-MEDIUM,Clerk#000000419,0,ding accounts above the slyly final asymptote
102,7,O,155566.58,1997-05-09,2-HIGH,Clerk#000000596,0, slyly according to the asymptotes. carefully final packages integrate furious
103,233,O,112230.74,1996-06-20,4-NOT SPECIFIED,Clerk#000000090,0,ges. carefully unusual instructions haggle quickly regular f
128,592,F,63346.14,1992-06-15,1-URGENT,Clerk#000000385,0,ns integrate fluffily. ironic asymptotes after the regular excuses nag around 
129,571,F,223645.96,1992-11-19,5-LOW,Clerk#000000859,0,ing tithes. carefully pending deposits boost about the silently express 
130,296,F,141132.49,1992-05-08,2-HIGH,Clerk#000000036,0,"le slyly unusual, regular packages? express deposits det"
131,742,F,120888.35,1994-06-08,3-MEDIUM,Clerk#000000625,0,after the fluffily special foxes integrate s
132,212,F,186504.92,1993-06-11,3-MEDIUM,Clerk#000000488,0,sits are daringly accounts. carefully regular foxes sleep slyly about the
133,352,O,133327.15,1997-11-29,1-URGENT,Clerk#000000738,0,usly final asymptotes 
134,50,F,170252.80,1992-05-01,4-NOT SPECIFIED,Clerk#000000711,0,lar theodolites boos
135,484,O,248264.06,1995-10-21,4-NOT SPECIFIED,Clerk#000000804,0,l platelets use according t
160,661,O,108406.30,1996-12-19,4-NOT SPECIFIED,Clerk#000000342,0,thely special sauternes wake slyly of t
161,133,F,32749.30,1994-08-31,2-HIGH,Clerk#000000322,0,carefully! special instructions sin
162,113,O,2804.11,1995-05-08,3-MEDIUM,Clerk#000000378,0,"nts hinder fluffily ironic instructions. express, express excuses "
163,703,O,158807.41,1997-09-05,3-MEDIUM,Clerk#000000379,0,y final packages. final foxes since the quickly even
164,7,F,241727.62,1992-10-21,5-LOW,Clerk#000000209,0,cajole ironic courts. slyly final ideas are slyly. blithely final Tiresias sub
165,218,F,155747.25,1993-01-30,4-NOT SPECIFIED,Clerk#000000292,0,across the blithely regular accounts. bold
166,863,O,141067.29,1995-09-12,2-HIGH,Clerk#000000440,0,"lets. ironic, bold asymptotes kindle"
167,956,F,76790.06,1993-01-04,4-NOT SPECIFIED,Clerk#000000731,0,s nag furiously bold excuses. fluffily iron
192,661,O,176563.58,1997-11-25,5-LOW,Clerk#000000483,0,y unusual platelets among the final instructions integrate rut
193,634,F,70075.07,1993-08-08,1-URGENT,Clerk#000000025,0,the furiously final pin
194,494,F,128674.19,1992-04-05,3-MEDIUM,Clerk#000000352,0,"egular requests haggle slyly regular, regular pinto beans. asymptote"
195,1084,F,195159.05,1993-12-28,3-MEDIUM,Clerk#000000216,0,old forges are furiously sheaves. slyly fi
196,520,F,33276.99,1993-03-17,2-HIGH,Clerk#000000988,0,beans boost at the foxes. silent foxes
197,262,P,138507.35,1995-04-07,2-HIGH,Clerk#000000969,0,solve quickly about the even braids. carefully express deposits affix care
198,883,O,166390.62,1998-01-02,4-NOT SPECIFIED,Clerk#000000331,0,its. carefully ironic requests sleep. furiously express fox
199,424,O,75144.01,1996-03-07,2-HIGH,Clerk#000000489,0,g theodolites. special packag
224,20,F,229189.04,1994-06-18,4-NOT SPECIFIED,Clerk#000000642,0,r the quickly thin courts. carefully
225,265,P,183891.49,1995-05-25,1-URGENT,Clerk#000000177,0,s. blithely ironic accounts wake quickly fluffily special acc
226,1021,F,241167.44,1993-03-10,2-HIGH,Clerk#000000756,0,s are carefully at the blithely ironic acc
227,80,O,54338.03,1995-11-10,5-LOW,Clerk#000000919,0, express instructions. slyly regul
228,353,F,2720.71,1993-02-25,1-URGENT,Clerk#000000562,0,es was slyly among the regular foxes. blithely regular dependenci
229,895,F,191214.49,1993-12-29,1-URGENT,Clerk#000000628,0,he fluffily even instructions. furiously i
230,821,F,128016.41,1993-10-27,1-URGENT,Clerk#000000520,0,odolites. carefully quick requ
231,727,F,199815.62,1994-09-29,2-HIGH,Clerk#000000446,0, packages haggle slyly after the carefully ironic instruct
256,1000,F,144522.87,1993-10-19,4-NOT SPECIFIED,Clerk#000000834,0,he fluffily final ideas might are final accounts. carefully f
257,982,O,7265.74,1998-03-28,3-MEDIUM,Clerk#000000680,0,ts against the sly warhorses cajole slyly accounts
258,335,F,217250.89,1993-12-29,1-URGENT,Clerk#000000167,0,dencies. blithely quick packages cajole. ruthlessly final accounts
259,346,F,97634.19,1993-09-29,4-NOT SPECIFIED,Clerk#000000601,0,ages doubt blithely against the final foxes. carefully express deposits dazzle
260,838,O,231157.42,1996-12-10,3-MEDIUM,Clerk#000000960,0,lently regular pinto beans sleep after the slyly e
261,370,F,293610.62,1993-06-29,3-MEDIUM,Clerk#000000310,0,ully fluffily brave instructions. furiousl
262,244,O,149978.90,1995-11-25,4-NOT SPECIFIED,Clerk#000000551,0,l packages. blithely final pinto beans use carefu
263,929,F,88542.93,1994-05-17,2-HIGH,Clerk#000000088,0, pending instructions. blithely un
288,58,O,252995.33,1997-02-21,1-URGENT,Clerk#000000109,0,"uriously final requests. even, final ideas det"
289,830,O,164145.25,1997-02-10,3-MEDIUM,Clerk#000000103,0,sily. slyly special excuse
290,944,F,84461.86,1994-01-01,4-NOT SPECIFIED,Clerk#000000735,0,efully dogged deposits. furiou
291,1129,F,96216.07,1994-03-13,1-URGENT,Clerk#000000923,0,dolites. carefully regular pinto beans cajol
292,179,F,47299.49,1992-01-13,2-HIGH,Clerk#000000193,0,g pinto beans will have to sleep f
293,241,F,51772.57,1992-10-02,2-HIGH,Clerk#000000629,0,"re bold, ironic deposits. platelets c"
294,404,F,43128.58,1993-07-16,3-MEDIUM,Clerk#000000499,0,kly according to the frays. final dolphins affix quickly 
295,152,F,128633.31,1994-09-29,2-HIGH,Clerk#000000155,0, unusual pinto beans play. regular ideas haggle
320,4,O,45096.08,1997-11-21,2-HIGH,Clerk#000000573,0,ar foxes nag blithely
321,982,F,61649.47,1993-03-21,3-MEDIUM,Clerk#000000289,0,equests run. blithely final dependencies after the deposits wake caref
322,1069,F,152558.38,1992-03-19,1-URGENT,Clerk#000000158,0,fully across the slyly bold packages. packages against the quickly regular i
323,314,F,99022.28,1994-03-26,1-URGENT,Clerk#000000959,0,arefully pending foxes sleep blithely. slyly express accoun
324,842,F,36573.83,1992-03-20,1-URGENT,Clerk#000000352,0," about the ironic, regular deposits run blithely against the excuses"
325,322,F,81278.63,1993-10-17,5-LOW,Clerk#000000844,0,ly sometimes pending pa
326,608,O,280676.75,1995-06-04,2-HIGH,Clerk#000000466,0, requests. furiously ironic asymptotes mold carefully alongside of the blit
327,1157,P,27075.76,1995-04-17,5-LOW,Clerk#000000992,0,ng the slyly final courts. slyly even escapades eat 
352,853,F,23431.76,1994-03-08,2-HIGH,Clerk#000000932,0,ke slyly bold pinto beans. blithely regular accounts against the spe
353,16,F,278596.16,1993-12-31,5-LOW,Clerk#000000449,0, quiet ideas sleep. even instructions cajole slyly. silently spe
354,1108,O,214612.30,1996-03-14,2-HIGH,Clerk#000000511,0,ly regular ideas wake across the slyly silent ideas. final deposits eat b
355,562,F,119759.29,1994-06-14,5-LOW,Clerk#000000532,0,"s. sometimes regular requests cajole. regular, pending accounts a"
356,1175,F,275935.68,1994-06-30,4-NOT SPECIFIED,Clerk#000000944,0,"as wake along the bold accounts. even, "
357,484,O,134455.15,1996-10-09,2-HIGH,Clerk#000000301,0,"e blithely about the express, final accounts. quickl"
358,19,F,300623.57,1993-09-20,2-HIGH,Clerk#000000392,0,"l, silent instructions are slyly. silently even de"
359,622,F,180134.63,1994-12-19,3-MEDIUM,Clerk#000000934,0,n dolphins. special courts above the carefully ironic requests use
384,905,F,162481.91,1992-03-03,5-LOW,Clerk#000000206,0,", even accounts use furiously packages. slyly ironic pla"
385,265,O,68711.92,1996-03-22,5-LOW,Clerk#000000600,0,hless accounts unwind bold pain
386,481,F,97055.18,1995-01-25,2-HIGH,Clerk#000000648,0, haggle quickly. stealthily bold asymptotes haggle among the furiously even re
387,28,O,166686.06,1997-01-26,4-NOT SPECIFIED,Clerk#000000768,0, are carefully among the quickly even deposits. furiously silent req
388,358,F,142832.55,1992-12-16,4-NOT SPECIFIED,Clerk#000000356,0,ar foxes above the furiously ironic deposits nag slyly final reque
